#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
Ag046G4526800;Ag047G4537900	AT4G30410.1	182	181	100	100	182	90.110	300
Ag046G4528000	AT4G27250.1	345	355	99	96	340	83.235	591
Ag046G4528400	AT4G30420.2	379	384	99	98	377	87.798	685
Ag046G4528800;Ag047G4539700	AT4G30440.1	430	430	100	100	430	98.605	874
Ag046G4529500;Ag047G4540200	AT4G30470.1	304	304	100	100	304	95.066	602
Ag046G4530400	AT4G30510.1	361	367	99	99	362	91.436	673
Ag046G4530500	AT4G30520.1	646	649	100	96	624	91.988	1158
Ag046G4531200	AT4G30540.1	267	249	92	97	243	78.455	412
Ag046G4533300	AT4G30590.1	187	191	100	100	191	78.010	266
Ag046G4535500;Ag047G4547800	AT4G30650.1	75	74	100	100	75	84.000	120
Ag046G4535600;Ag047G4547900	AT4G30660.1	76	75	97	99	74	83.784	130
Ag046G4536500	AT4G30690.1	287	282	100	100	289	83.737	407
Ag046G4536600;Ag047G4549500	AT4G30710.1	651	645	99	99	650	87.385	1003
Ag046G4537200;Ag047G4550000	AT4G30720.1	709	708	100	100	710	92.113	1321
Ag093G5459000	AT1G64820.1	494	503	100	100	503	80.318	774
Ag093G5459200	AT4G23180.1	664	670	97	98	642	76.364	988
Ag093G5460400	AT4G23130.2	658	664	100	97	648	76.647	991
Ag093G5461200	AT4G23100.1	515	523	100	100	526	91.635	992
Ag093G5462400	AT4G23060.1	480	485	100	100	494	78.745	660
Ag093G5463200	AT4G23050.2	732	737	100	100	743	82.773	1247
Ag055G4900900	AT3G43210.1	921	939	99	98	923	87.866	1635
Ag055G4901400	AT3G46510.1	658	661	100	100	662	90.785	1223
Ag055G4901900	AT3G46540.1	296	308	99	99	307	76.221	418
Ag055G4902200	AT3G46620.1	372	396	97	94	367	85.559	580
Ag055G4902300	AT3G46630.1	199	208	93	100	194	79.381	319
Ag055G4902400	AT3G46640.3	257	325	89	82	269	70.242	352
Ag055G4902500	AT3G46660.1	448	459	99	98	449	82.183	757
Ag055G4902600	AT3G46740.1	817	819	100	100	821	91.474	1471
Ag055G4903200	AT3G46750.1	346	389	100	100	392	70.408	489
Ag055G4903300	AT3G46760.1	330	338	100	98	330	95.758	658
Ag055G4903600	AT3G42630.1	418	416	98	99	414	75.845	650
Ag055G4903900	AT3G46780.1	516	511	100	100	521	83.493	786
Ag055G4906300	AT3G46890.1	194	205	100	100	205	81.951	293
Ag055G4906900	AT3G46900.1	160	159	100	100	160	78.395	224
Ag055G4907500	AT3G46960.1	1345	1348	100	100	1348	91.172	2556
Ag055G4907600	AT3G46970.1	838	842	100	100	842	95.012	1666
Ag055G4908000	AT3G46980.4	524	582	100	92	536	87.127	899
Ag055G4908300	AT3G47120.1	256	353	70	50	178	87.079	336
Ag055G4908400	AT3G47160.2	241	258	100	100	258	88.760	470
Ag055G4908600	AT3G47180.1	213	211	99	99	211	74.408	265
Ag055G4909000	AT3G47340.1	585	585	100	100	585	93.162	1154
Ag055G4909700	AT3G47380.1	199	203	100	100	205	74.146	313
Ag055G4910300	AT4G27270.1	206	206	100	100	206	90.291	380
Ag055G4910600	AT4G27280.1	125	131	98	93	123	82.927	202
Ag055G4911300	AT5G54430.3	239	259	99	93	242	87.603	321
Ag055G4912100	AT5G54400.1	290	293	100	100	295	88.136	524
Ag055G4912200	AT5G54390.1	372	374	100	100	377	88.859	673
Ag055G4912500	AT3G48610.1	519	521	99	99	517	93.810	1016
